Product Title,Product Price,Product Preview,Product URL
  MultiTest - Phosphate - Seachem  ,$15.53,https://media2.cdn.bulkreefsupply.com/media/catalog/product/cache/2461497ddf1a2f94aea2975a79e1fe32/2/1/213309-seachem-multitest-phosphate-75tests-inp.jpg,https://www.bulkreefsupply.com/multitest-phosphate-seachem.html?queryID=b26677c536b185e61a6f5d47c8a2ec32&objectID=11298&indexName=brs_prod_m2_default_products
  MultiTest - Marine Basic Test Kit - Seachem  ,$15.53,https://media2.cdn.bulkreefsupply.com/media/catalog/product/cache/2461497ddf1a2f94aea2975a79e1fe32/2/1/213307-seachem-multitest-marinebasic-75tests-inp_1.jpg,https://www.bulkreefsupply.com/multitest-marine-basic-test-kit-seachem.html?queryID=b26677c536b185e61a6f5d47c8a2ec32&objectID=11001&indexName=brs_prod_m2_default_products
  MultiTest - Iodine & Iodide - Seachem  ,$15.53,https://media2.cdn.bulkreefsupply.com/media/catalog/product/cache/2461497ddf1a2f94aea2975a79e1fe32/2/1/213305-seachem-multitest-iodine-iodide-75tests-inp.jpg,https://www.bulkreefsupply.com/multitest-iodine-iodide-seachem.html?queryID=b26677c536b185e61a6f5d47c8a2ec32&objectID=11290&indexName=brs_prod_m2_default_products
  MultiTest - Copper - Seachem  ,$15.53,https://media2.cdn.bulkreefsupply.com/media/catalog/product/cache/2461497ddf1a2f94aea2975a79e1fe32/2/1/213304-seachem-multitest-copper-75tests-inp.jpg,https://www.bulkreefsupply.com/multitest-copper-seachem.html?queryID=b26677c536b185e61a6f5d47c8a2ec32&objectID=11295&indexName=brs_prod_m2_default_products
  MultiTest - Ammonia - Seachem  ,$15.53,https://media2.cdn.bulkreefsupply.com/media/catalog/product/cache/2461497ddf1a2f94aea2975a79e1fe32/2/1/213303-seachem-multitest-ammonia-75tests-inp.jpg,https://www.bulkreefsupply.com/multitest-ammonia-seachem.html?queryID=b26677c536b185e61a6f5d47c8a2ec32&objectID=11294&indexName=brs_prod_m2_default_products
  MultiTest - Iron - Seachem  ,$15.53,https://media2.cdn.bulkreefsupply.com/media/catalog/product/cache/2461497ddf1a2f94aea2975a79e1fe32/2/1/213306-seachem-multitest-iron-75tests-inp.jpg,https://www.bulkreefsupply.com/multitest-iron-seachem.html?queryID=b26677c536b185e61a6f5d47c8a2ec32&objectID=11296&indexName=brs_prod_m2_default_products
  HIREEF2 Professional Reef Test Kit - Hanna Instruments  ,$292.00,https://media2.cdn.bulkreefsupply.com/media/catalog/product/cache/2461497ddf1a2f94aea2975a79e1fe32/2/1/212442-hannainstruments-reefprofessional-testing-hero1.jpg,https://www.bulkreefsupply.com/hireef2-professional-reef-test-kit-hanna-instruments.html?queryID=b26677c536b185e61a6f5d47c8a2ec32&objectID=9816&indexName=brs_prod_m2_default_products
  Phosphate Ultra Low Range PPM Colorimeter HI774 Hanna Checker - Marine Water  ,$63.95,https://media2.cdn.bulkreefsupply.com/media/catalog/product/cache/2461497ddf1a2f94aea2975a79e1fe32/2/1/212044-hannainstruments-colorimeter-phosphate-testing-fr.jpg,https://www.bulkreefsupply.com/phosphate-ppm-ultra-low-range-colorimeter-hi774-hanna-checker-marine-water.html?queryID=b26677c536b185e61a6f5d47c8a2ec32&objectID=8788&indexName=brs_prod_m2_default_products
  BRS Master Test Kit Bundle - Bulk Reef Supply  ,$174.99,https://media2.cdn.bulkreefsupply.com/media/catalog/product/cache/2461497ddf1a2f94aea2975a79e1fe32/r/a/randy-test-kit-bundle-1200x1200.jpg,https://www.bulkreefsupply.com/brs-master-test-kit-bundle-bulk-reef-supply.html?queryID=b26677c536b185e61a6f5d47c8a2ec32&objectID=12354&indexName=brs_prod_m2_default_products
  Phosphat-E - Liquid Phosphate Remover - Brightwell Aquatics  ,$24.33,https://media2.cdn.bulkreefsupply.com/media/catalog/product/cache/2461497ddf1a2f94aea2975a79e1fe32/p/h/phosphat-e.jpg,https://www.bulkreefsupply.com/phosphat-e-liquid-phosphate-remover-brightwell-aquatics.html?queryID=b26677c536b185e61a6f5d47c8a2ec32&objectID=4546&indexName=brs_prod_m2_default_products
